I1(Lex) S(gr)	I1(Lex)S(sba)	I1(Grevlex) S(gr)	I1(Grevlex)S(sba)	I2(Lex) S(gr)	I2(Lex)S(sba)	I2(Grevlex) S(gr)	I2(Grevlex)S(sba)	I3(Grevlex) S(gr)	I3(Grevlex)S(sba)
1404	63	515	154	1275	90	404	86	525	220
1418	76	514	148	1275	89	407	88	516	218
1416	63	516	146	1272	90	410	88	513	220
1405	62	515	145	1276	88	406	86	513	223
1454	62	511	144	1263	88	407	87	517	219
1397	61	514	144	1289	88	407	87	522	221
1424	62	530	148	1272	89	410	87	518	220
1451	63	515	148	1265	90	406	86	516	221
1399	62	512	145	1337	88	405	87	514	225
1425	62	513	148	1273	88	406	93	512	217
1404	63	514	145	1272	89	410	89	529	218
1414	62	516	145	1295	88	419	88	514	217
1404	62	525	145	1282	89	407	87	510	218
1400	62	513	144	1273	88	406	88	515	217
1397	62	510	146	1286	89	407	87	515	220
1414	62	515	146	1264	88	409	87	524	216
1423	62	523	146	1277	88	408	87	515	218
1413	62	517	147	1256	88	409	88	513	220
1420	62	514	146	1267	89	408	87	516	216
1398	62	516	143	1289	91	406	87	542	219
1448	61	516	145	1277	91	406	88	522	218
1406	62	515	147	1288	90	414	88	522	219
1430	63	514	145	1274	91	407	89	516	218
